Sample	Taxonomy	Count
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Oscillospirales(1.00),f:Oscillospiraceae(1.00),g:uncultured(0.66),s:uncultured bacterium(0.97)	204
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(0.99),f:Comamonadaceae(0.99),g:Extensimonas(0.30),s:uncultured bacterium(0.54)	204
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Burkholderiales(1.00),f:Rhodocyclaceae(0.74),g:Propionivibrio(0.52),s:uncultured bacterium(0.73)	202
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Alphaproteobacteria(1.00),o:Rhodospirillales(0.89),f:uncultured(0.82),g:uncultured Alphaproteobacteria bacterium(0.39)	197
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Oscillospirales(0.49),f:Oscillospiraceae(0.26),g:UCG-002(0.18),s:uncultured bacterium(0.97)	192
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(0.66),g:Bacteroides(0.66),s:uncultured bacterium(0.78)	190
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Clostridia UCG-014(1.00),f:uncultured bacterium(0.99)	185
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(0.90),c:Clostridia(0.90),o:Lachnospirales(0.87),f:Lachnospiraceae(0.87),g:Roseburia(0.27),s:uncultured bacterium(0.84)	180
FrozenWWsample	k:Bacteria(1.00),p:Actinobacteriota(0.82),c:Actinobacteria(0.82),o:Propionibacteriales(0.82),f:Propionibacteriaceae(0.82),g:Cutibacterium(0.79),s:uncultured Propionibacterium sp.(0.07)	168
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Oscillospirales(1.00),f:Oscillospiraceae(1.00),g:NK4A214 group(1.00),s:uncultured bacterium(1.00)	161
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Oscillospirales(1.00),f:Ruminococcaceae(1.00),g:Ruminococcus(1.00),s:uncultured bacterium(1.00)	161
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Pseudomonadales(1.00),f:Moraxellaceae(1.00),g:Acinetobacter(1.00),s:metagenome(0.61)	154
FrozenWWsample	k:Bacteria(1.00),p:Firmicutes(1.00),c:Clostridia(1.00),o:Lachnospirales(0.50),f:Lachnospiraceae(0.50),g:[Eubacterium] oxidoreducens group(0.33),s:uncultured organism(0.49)	150
FrozenWWsample	k:Bacteria(1.00),p:Proteobacteria(1.00),c:Gammaproteobacteria(1.00),o:Salinisphaerales(1.00),f:Solimonadaceae(1.00),g:Nevskia(1.00),s:uncultured bacterium(0.94)	142
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Paludibacteraceae(0.94),g:Paludibacter(0.91),s:uncultured Bacteroides sp.(0.02)	139
FrozenWWsample	k:Bacteria(1.00),p:Bacteroidota(1.00),c:Bacteroidia(1.00),o:Bacteroidales(1.00),f:Bacteroidaceae(0.97),g:Bacteroides(0.97),s:uncultured organism(0.15)	137
